mass	form_id	proper	cycle	occurrence	latin_incipit	printed_page	ia_leaf_range	pdf_artifact_page_range	alignment_status	english
praesentatione-beatae-mariae-virginis	main	Collect	all	1	Deus, qui beatam Mariam semper Virginem	696	704-704	705-705	candidate	O God, who wast pleased that blessed Mary, ever a Virgin, become an abode for the Holy Ghost should this day be presented to thee in the temple: grant, by her intercession, that we may be presented before thy divine Majesty in the temple of God. Thro'.
comm-ss-alexandri-eventii-theoduli-martyrum	main	Collect	all	1	Praesta, quaesumus, omnipotens Deus	577	585-585	586-586	candidate	Grant, we beseech thee, O Almighty God, that we who celebrate the festival of thy saints, Alexander, Eventius, Theodulus, and Juvenalis, may by their intercession, be delivered from all impending misfortunes. Thro'.
s-pii-v-papae-confessoris	main	Collect	all	1	Deus, qui ad conterendos	583	591-591	592-592	candidate	O God, who wast pleased to raise blessed Pius to the dignity of chief bishop, in order to depress the enemies of thy church, and restore the divine worship: make us by thy grace, so diligently in all that concerneth thy service, that we may defeat the treacherous designs of our enemies, and rejoice in everlasting peace. Thro'.
s-stanislai-episcopi-martyris	main	Collect	all	1	Deus, pro cujus honore	581	589-589	590-590	candidate	O God, for whose honour the glorious bishop Stanislaus fell by the swords of wicked men: grant, we beseech thee, that all who implore his aid, may obtain the happy effect of their prayers. Thro'.
comm-s-bonifatii-martyris	main	Collect	all	1	Da, quaesumus omnipotens Deus	584	592-592	593-593	candidate	Grant, we beseech thee, O Almighty God, that we who celebrate the festival of blessed Boniface, thy martyr, may, by his prayers, find the effects of thy divine assistance. Thro'.
s-ubaldi-episcopi-confessoris	main	Collect	all	1	Auxilium tuum nobis, Domine	584	592-592	593-593	candidate	Help us, O Lord, we beseech thee, in thy mercy: and grant, by the intercession of blessed Ubaldus, thy bishop and confessor, that we may be defended by thy right hand against all the snares of the devil. Thro'.
s-paschalis-baylon-confessoris	main	Collect	all	1	Deus, qui beatum Paschalem	584	592-592	593-593	candidate	O God, who didst adorn blessed Paschal, thy confessor, with an admirable love of the sacred mysteries of thy body and blood: grant, we beseech thee, that we may be made worthy partakers of the same spiritual nourishment which he so abundantly received from this divine banquet. Thro'.
s-venantii-martyris	main	Collect	all	1	Deus, qui hunc diem	584-585	592-593	593-594	candidate	O God, who hast consecrated this day by the triumph of blessed Venantius, thy martyr, mercifully hear the prayers of thy people: and grant that we, who honour his virtues, may imitate the constancy of his faith. Thro'.
s-petri-caelestini-papae-confessoris	main	Collect	all	1	Deus, qui beatum Petrum Coelestinum	586	594-594	595-595	candidate	O God, who didst raise blessed Celestine to the dignity of chief bishop, which thou taughtest him to quit for a more humble and private state: mercifully grant, that, by his example, we may despise the things of this world, and happily obtain the blessings promised to the humble. Thro'.
comm-s-urbani-i-papae-martyris	main	Collect	all	1	Da, quaesumus omnipotens Deus	586	594-594	595-595	rejected-target-identity	Grant, we beseech thee, O Almighty God, that we who celebrate the feast of blessed Urban, thy martyr and bishop may be aided by his prayers to thee in our behalf. Thro'.
s-mariae-magdalenae-pazzis-virginis	main	Collect	all	1	Deus, virginitatis amator	588	596-596	597-597	candidate	O God, the lover of purity, who didst inflame the breast of blessed Mary Magdalen with the fire of thy love, and enrich it with heavenly graces: grant we may imitate her purity and charity, whose festival we celebrate. Thro'.
s-norberti-episcopi-confessoris	main	Collect	all	1	Deus, qui beatum Norbertum	588	596-596	597-597	candidate	O God, who didst raise up blessed Norbert, thy confessor and bishop, to be an eminent preacher of thy word, and by him wast pleased to institute a new order in thy church: grant, we beseech thee, that by his merits we may obtain the help of thy grace to live according to what he taught and practised Thro'.
s-margaritae-reginae-viduae	main	Collect	all	1	Deus, qui beatam Margaritam Reginam	590	598-598	599-599	candidate	O God, who didst render blessed Margaret Queen of the Scots, truly wonderful for her charities towards the poor: grant by her prayers and example, that thy charity may continually increase in our hearts. Thro'.
s-ioannis-s-facundo-confessoris	main	Collect	all	1	Deus auctor pacis	592	600-600	601-601	candidate	O God, the author of peace and lover of charity, who gavest to blessed John, thy confessor, the extraordinary grace of reconciling those who were at variance : grant, by his merits and intercession, that being well-grounded in thy charity, we may be by no temptations separated from thee. Thro'.
s-antonii-padua-confessoris-ecclesiae-doctoris	main	Collect	all	1	Ecclesiam tuam, Deus	593	601-601	602-602	candidate	May this solemnity, O God, of blessed Anthony, thy confessor, be a comfort to thy church : that thy people may never want the assistance of thy grace, and at length come to the possession of eternal joys. Thro'.
s-iulianae-falconeriis-virginis	main	Collect	all	1	Deus, qui beatam Julianam	597	605-605	606-606	candidate	O God, who vouchsafedst to refresh blessed Juliana, thy virgin, in a miraculous manner, with the precious body of thy Son in her last sickness ; grant, we beseech thee, by her merits and intercession, that we also, in our last conflict, may be so refreshed and strengthened with the same, as to be brought to our heavenly country.
s-gulielmi-abbatis	main	Collect	all	1	Deus, qui infirmitati nostrae	602-603	610-611	611-612	candidate	O God, who in thy saints hast afforded both an example and help to our weakness, in order to enable us to walk in the road of salvation : grant us so to revere the merits of the blessed Abbot William, that we may feel the benefit of his suffrages, and tread in his steps. Thro'.
s-elisabeth-reginae-viduae	main	Collect	all	1	Clementissime Deus	615	623-623	624-624	candidate	O most merciful God, who, amongst other admirable endowments, didst privilege blessed Elizabeth with the gift of making wars cease : grant, by her prayers, that after having enjoyed the peace, which we humbly crave in this mortal life, we may be received into everlasting bliss. Thro'.
comm-ss-naboris-felicis-martyrum	main	Collect	all	1	Praesta, quaesumus Domine: ut sicut nos	617	625-625	626-626	candidate	Grant, we beseech thee O Lord, that as we make a yearly commemoration of these thy holy martyrs : so we may always be partakers of their intercession. Thro'.
s-henrici-imperatoris-confessoris	main	Collect	all	1	Deus, qui hodierna die beatum Henricum	623	631-631	632-632	candidate	O God, who didst this day remove blessed Henry thy confessor from his earthly throne to an eternal kingdom : we humbly beseech thee, that as by the assistance of thy grace, he was proof against all the temptations of the world : so we may follow his example in withstanding all the flatteries of this world, and serve thee with clean hearts. Thro'.
comm-ss-felicis-simplicii-faustini-beatricis	main	Collect	all	1	Praesta, quaesumus Domine: ut, sicut populus christianus	630	638-638	639-639	candidate	Grant, O Lord, we beseech thee, that as thy christian people rejoice on the solemnity of thy holy mm. Felix, Simplicius, Faustin, and Beatrix ; so they may partake of their eternal joys, and be one day possessed of that happiness which they now so earnestly desire. Thro'.
comm-ss-hippolyti-cassiani-martyrum	main	Collect	all	1	Da, quaesumus omnipotens Deus	640	648-648	649-649	candidate	Grant, we beseech thee, O Almighty God, that the sacred solemnity of thy holy martyrs, Hyppolite and Cassian, may be to us an increase of devotion and a help to salvation. Thro'.
s-ioannae-franciscae-fremiot-chantal-viduae	main	Collect	all	1	Omnipotens et misericors Deus	646-647	654-655	655-656	candidate	O Almighty and merciful God, who hast granted blessed Jane Frances, inflamed with the love of thee, a wonderful degree of fortitude through all the paths of life, and wast pleased through her, to adorn thy church with a new offspring : grant, by her merits and prayers, that we who, sensible of our weakness, confide in thy strength, may overcome all adversities with the help of thy heavenly grace. Thro'.
comm-ss-timothei-sociorum-martyrum	main	Collect	all	1	Auxilium tuum nobis, Domine	647	655-655	656-656	candidate	Help us, O Lord, in thy mercy, and, by the intercession of thy martyrs, Tymothy, Hyppolite and Symphorian, shelter us under the protection of thy goodness. Thro'.
s-philippi-benitii-confessoris	main	Collect	all	1	Deus, qui per beatum Philippum	648	656-656	657-657	candidate	O God, who in blessed Philip, thy confessor, has left us an example of humility : grant that, in imitation of him, we may despise the prosperity of this world, and have our hearts always fixed on the happiness of the next. Thro'
comm-s-zephyrini-papae-martyris	main	Collect	all	1	Praesta, quaesumus, omnipotens Deus: ut beati Zephyrini	651	659-659	660-660	candidate	Grant, we beseech thee, O Almighty God, that as we rejoice in the merits of blessed Zephyrine, thy martyr and bp. we may receive benefits from his example. Thro'.
comm-s-hermetis-martyris	main	Collect	all	1	Deus, qui beatum Hermetem	652	660-660	661-661	candidate	O God, who gavest blessed Hermes, thy martyr, strength and constancy in his sufferings : grant, by his example, that for thy love we may despise whatever this world esteems great, and dread none of its terrors. Thro'.
s-rosae-limanae-virginis	main	Collect	all	1	Bonorum omnium largitor	654-655	662-663	663-664	candidate	O Almighty God, he giver of all good gifts, who wast pleased that blessed Rose, abundantly favoured with the dew of heavenly grace, should beautify the Indies with her purity and patience: grant that we thy servants, following the perfume of her virtues, may become an agreeable odour to Christ. Thro'.
s-raymundi-nonnati-confessoris	main	Collect	all	1	Deus, qui in liberandis	655	663-663	664-664	candidate	O God, who didst make blessed Raymond, thy confessor, wonderfully eminent by redeeming the faithful out of captivity: grant, by his prayers, that being freed from the bonds of sin, we may cheerfully perform what is most pleasing to thee. Thro'.
comm-s-gorgonii-martyris	main	Collect	all	1	Sanctus tuus, Domine, Gorgonius	657	665-665	666-666	candidate	May the intercession, O Lord, of blessed Gorgonius, thy martyr, bring comfort to thy people; and fill them with spiritual joy on this his sacred festival. Thro'.
